date,1,2,3,4,5,6,7
20160115,16.080599913417668,,,,,,
20160116,16.11721563064208,16.043812977381318,,,,,
20160117,16.345556350435537,16.067811390704268,15.920042611086535,,,,
20160118,16.310111118131445,16.30761709309698,15.948235217521956,15.822086752814212,,,
20160119,16.279014202581777,16.288589367560938,16.20817074969107,15.825583249301427,15.705621900570257,,
20160120,15.832341450800513,16.31950411270539,16.21099171985161,16.102013216503547,15.717727684932143,15.701757323704172,
20160121,15.869195699068705,15.86429045372942,16.26244497618006,16.11806371134085,16.015986314428517,15.670266150796587,15.676405987943657
20160122,15.8341324369691,15.929331431968347,15.844980123664463,16.093667033979518,16.03354492379346,15.996484197925222,15.676480245088305
20160123,15.694881325799368,15.841410705592754,15.867829421029581,15.7663380679135,15.925635669905924,16.016174361298415,15.99310897030013
20160124,15.40499932959857,15.683739281645721,15.750606771953372,15.722369824920786,15.661257797547439,15.863609318050091,15.954427408627122
20160125,15.25574193463147,15.370004982402993,15.59167831878794,15.633999548996837,15.6337158760198,15.617395330919045,15.764346747721582
20160126,15.257383070950603,15.213647749649015,15.294429906993223,15.545467670294066,15.631059713982452,15.638892240070659,15.582777611687328
20160127,15.288218483821815,15.199608875517992,15.14654546786602,15.297471244579429,15.546350742668913,15.632339447723496,15.62784341801587
20160128,15.403224637263884,15.265907684311411,15.152303869032666,15.16485439492635,15.284785559998003,15.52826805949893,15.585287396331628
20160129,15.494461025281632,15.392667835570396,15.228133235096053,15.152441164616656,15.14745792256429,15.250326505312767,15.47263690389191
20160130,15.547583998916542,15.46236858319202,15.336360085188575,15.228117742598247,15.15261318476469,15.10855679480171,15.179745890660673
20160131,15.505884071292005,15.512079200629515,15.400309910780424,15.293912243876933,15.199067172318903,15.09842844080612,15.037370370063059
20160201,15.461748883279848,15.4737865540738,15.42485910911152,15.31648641585001,15.276649861754489,15.164679169433942,15.055492852925674
20160202,nan,15.465180738655535,15.321852696554988,15.321622980208234,15.30961202061739,15.330156675378102,15.281125590947749
20160203,nan,nan,15.29875765612125,15.218114397033219,15.250875153424666,15.299997055945594,15.311224308837165
20160204,nan,nan,nan,15.163204711022221,15.146081227155953,15.254163302527616,15.293780290533565
20160205,nan,nan,nan,nan,15.097301228034842,15.165355497096709,15.257844640540359
20160206,nan,nan,nan,nan,nan,15.128229061668819,15.178258610871456
20160207,nan,nan,nan,nan,nan,nan,15.145318355195105
20160208,nan,nan,nan,nan,nan,nan,nan
20160209,nan,nan,nan,nan,nan,nan,nan
20160210,nan,nan,nan,nan,nan,nan,nan
20160211,nan,nan,nan,nan,nan,nan,nan
20160212,nan,nan,nan,nan,nan,nan,nan
20160213,nan,nan,nan,nan,nan,nan,nan
20160214,nan,nan,nan,nan,nan,nan,nan
20160215,nan,nan,nan,nan,nan,nan,nan
20160216,nan,nan,nan,nan,nan,nan,nan
20160217,nan,nan,nan,nan,nan,nan,nan
20160218,nan,nan,nan,nan,nan,nan,nan
20160219,nan,nan,nan,nan,nan,nan,nan
20160220,nan,nan,nan,nan,nan,nan,nan
20160221,nan,nan,nan,nan,nan,nan,nan
20160222,nan,nan,nan,nan,nan,nan,nan
20160223,nan,nan,nan,nan,nan,nan,nan
20160224,nan,nan,nan,nan,nan,nan,nan
20160225,nan,nan,nan,nan,nan,nan,nan
20160226,nan,nan,nan,nan,nan,nan,nan
20160227,nan,nan,nan,nan,nan,nan,nan
20160228,nan,nan,nan,nan,nan,nan,nan
20160229,nan,nan,nan,nan,nan,nan,nan
20160301,nan,nan,nan,nan,nan,nan,nan
20160302,nan,nan,nan,nan,nan,nan,nan
20160303,nan,nan,nan,nan,nan,nan,nan
20160304,nan,nan,nan,nan,nan,nan,nan
20160305,nan,nan,nan,nan,nan,nan,nan
20160306,nan,nan,nan,nan,nan,nan,nan
20160307,14.823557873641615,nan,nan,nan,nan,nan,nan
20160308,14.92134010909372,14.89158703417256,nan,nan,nan,nan,nan
20160309,14.741184797040123,14.913761606547098,14.85769585966546,nan,nan,nan,nan
20160310,14.336291038044607,14.707928280718939,14.84873264834957,14.769383814164293,nan,nan,nan
20160311,14.263102341520764,14.32061530138695,14.687527866455028,14.82068535085907,14.739761624138376,nan,nan
20160312,14.229483621285397,14.274949828548568,14.395529007407694,14.746715084532203,14.835975377743807,14.753861934036554,nan
20160313,14.349345871453025,14.26679382979069,14.373349627016596,14.463650054477338,14.765531524451639,14.825387591054714,14.721344783817479
20160314,14.380092068905848,14.399315053336633,14.348720295076166,14.433369166182707,14.490345230866364,14.755420265626043,14.80729716163583
