date,1,2,3,4,5,6,7
20160115,16.418093293603473,,,,,,
20160116,16.377489326642575,16.33245450530964,,,,,
20160117,16.400428106538115,16.251862264619554,16.27750475249398,,,,
20160118,16.399173748440028,16.235442620955258,16.184681451899415,16.214100636781687,,,
20160119,16.36286601138749,16.22262631859062,16.166664478289086,16.101630177850936,16.162910752915913,,
20160120,16.262015727146068,16.19551257764885,16.154309211290144,16.09970857389914,16.06305011874975,16.125486220461305,
20160121,16.19643491549227,16.120294898136702,16.127650095025317,16.12114004060313,16.075015669295304,16.06081732928171,16.157105607143823
20160122,16.13187073222887,16.08154709267998,16.066955563756594,16.121788054390603,16.09877475023838,16.092274578961344,16.11917917118276
20160123,16.046635283102013,16.015952658312596,16.023051160539314,16.05342473670874,16.083510633220662,16.108432452835157,16.139642356773983
20160124,15.845733646704222,15.914868918155985,15.946119957347605,15.993690206079823,15.98815885013962,16.065257265462805,16.12591627083139
20160125,15.654111749379183,15.731920415593084,15.865953760347136,15.926819510427798,15.906183236240418,15.951444301463699,16.059330316604527
20160126,15.549210176961934,15.577831498207285,15.715825313046587,15.85289251624997,15.82858558853109,15.869456934635128,15.947493180299535
20160127,15.513901171793709,15.503725004744553,15.580801249769154,15.677675304315486,15.746855984812541,15.79684226186614,15.859816060096314
20160128,15.501634318877063,15.446327437275805,15.469735533010004,15.503776557366557,15.581852869835629,15.73050285204399,15.77418101137092
20160129,15.508692754299116,15.399650144063585,15.393144363433896,15.400942966294153,15.44037885234301,15.594133345465861,15.700122865185818
20160130,15.534167495818004,15.381389297168855,15.349294183958932,15.339428133977894,15.350503667235792,15.460277095988438,15.572314566316761
20160131,15.537411037211758,15.393304630652562,15.320581777510972,15.302052750137008,15.285580485402583,15.366342342232427,15.465150287883988
20160201,15.534169098490189,15.41664274303461,15.346365567649855,15.302028175830147,15.244930842284367,15.29210496387445,15.399129809826984
20160202,nan,15.4590446410769,15.396822496102265,15.351224869719786,15.295071510091946,15.3075616686666,15.378905689503604
20160203,nan,nan,15.35282006276957,15.331846426086898,15.278537275366304,15.26980164350092,15.274478240941573
20160204,nan,nan,nan,15.336789067110537,15.293170740878576,15.284091068717121,15.217594062796618
20160205,nan,nan,nan,nan,15.337372439786478,15.337091437929752,15.242447234619117
20160206,nan,nan,nan,nan,nan,15.397080526324316,15.301272783006171
20160207,nan,nan,nan,nan,nan,nan,15.379299412637458
20160208,nan,nan,nan,nan,nan,nan,nan
20160209,nan,nan,nan,nan,nan,nan,nan
20160210,nan,nan,nan,nan,nan,nan,nan
20160211,nan,nan,nan,nan,nan,nan,nan
20160212,nan,nan,nan,nan,nan,nan,nan
20160213,nan,nan,nan,nan,nan,nan,nan
20160214,nan,nan,nan,nan,nan,nan,nan
20160215,nan,nan,nan,nan,nan,nan,nan
20160216,nan,nan,nan,nan,nan,nan,nan
20160217,nan,nan,nan,nan,nan,nan,nan
20160218,nan,nan,nan,nan,nan,nan,nan
20160219,nan,nan,nan,nan,nan,nan,nan
20160220,nan,nan,nan,nan,nan,nan,nan
20160221,nan,nan,nan,nan,nan,nan,nan
20160222,nan,nan,nan,nan,nan,nan,nan
20160223,nan,nan,nan,nan,nan,nan,nan
20160224,nan,nan,nan,nan,nan,nan,nan
20160225,nan,nan,nan,nan,nan,nan,nan
20160226,nan,nan,nan,nan,nan,nan,nan
20160227,nan,nan,nan,nan,nan,nan,nan
20160228,nan,nan,nan,nan,nan,nan,nan
20160229,nan,nan,nan,nan,nan,nan,nan
20160301,nan,nan,nan,nan,nan,nan,nan
20160302,nan,nan,nan,nan,nan,nan,nan
20160303,nan,nan,nan,nan,nan,nan,nan
20160304,nan,nan,nan,nan,nan,nan,nan
20160305,nan,nan,nan,nan,nan,nan,nan
20160306,nan,nan,nan,nan,nan,nan,nan
20160307,14.698141830123172,nan,nan,nan,nan,nan,nan
20160308,14.760665277468899,14.604646208546304,nan,nan,nan,nan,nan
20160309,14.770788289223862,14.649531714253847,14.927405154872078,nan,nan,nan,nan
20160310,14.626284419962374,14.64368409766881,14.97679951166474,14.836149534788092,nan,nan,nan
20160311,14.511747315246934,14.502762200744492,14.943506668107325,14.872586286951659,14.843526100639195,nan,nan
20160312,14.428770565455135,14.441117017757051,14.765202976653375,14.876014402758909,14.865808586274301,14.926059978683414,nan
20160313,14.442787002175546,14.421630660863595,14.645855184257663,14.782384690942425,14.858801169250189,14.921813431612843,14.969032428024153
20160314,14.475759845519693,14.487256881562683,14.574184752518644,14.711200403100024,14.755912285987346,14.877848393964504,14.94885799053856
20160315,14.471696003078401,14.530636409638833,14.600156589527426,14.65961305653196,14.68852098898669,14.741755348338572,14.901296022279308
20160316,14.409327480710719,14.491992777874243,14.625064786428332,14.678196040536207,14.652230079992108,14.676814002887248,14.799325470179415
20160317,14.304312385680248,14.372617205827297,14.574612131768419,14.711016630022621,14.698984835693352,14.664882108457615,14.764345547033516
20160318,14.239700656475312,14.230671201375706,14.46123910128455,14.686775144751362,14.729831467269872,14.704738963067499,14.750156555941011
20160319,14.200901031284555,14.16863870594316,14.318273263098186,14.567826417730128,14.694137286552786,14.705541901833012,14.761672289826178
20160320,14.210365878994867,14.173527390336513,14.25632570929153,14.435581388024351,14.578008194131936,14.640621925344178,14.723423449643569
20160321,14.245446236264465,14.23692536247209,14.247094317496407,14.399086405438002,14.469002445356699,14.533636611972248,14.638690171135199
20160322,14.277071766523697,14.28800840152542,14.295087938797932,14.387342023654206,14.440698186092273,14.40959299006964,14.53401804795267
20160323,14.250683234746386,14.28792345989953,14.33678305840591,14.396399792629108,14.414509454114231,14.343791009654083,14.428279079317896
20160324,14.154953488141324,14.226217375368996,14.348594752421546,14.39096352857198,14.383138214508612,14.324028993144521,14.403608077900614
20160325,14.100999528977635,14.130995675847103,14.330473872231117,14.368762779218393,14.388583026150737,14.362536931997308,14.4364361465239
20160326,14.343687370186014,14.116806150530536,14.288315580361196,14.353368044417461,14.395509775341454,14.406059632122131,14.500341631518584
20160327,14.525952333061307,14.395337220969356,14.285433975769594,14.323623517081298,14.377400648080393,14.425048626413664,14.538321222773835
20160328,14.638760688711411,14.547496521042426,14.544675817993916,14.323099443276263,14.33435020202657,14.408879266722519,14.537903993781244
20160329,14.705665841815447,14.612963542970974,14.655089247173098,14.502300096930675,14.328189530141074,14.36954007522892,14.507302571049282
20160330,14.718310391144081,14.654134588773914,14.700172950007723,14.604511049858562,14.506072253033995,14.364865614684515,14.475612399678521
20160331,14.754805907954491,14.666760440260372,14.739615780969391,14.682376343823062,14.614276665715906,14.560735127528247,14.487407532748229
20160401,14.79758283128846,14.720628923574107,14.759137930875017,14.750256990064708,14.690777017201437,14.668379139168891,14.662188016511848
20160402,14.914209820535298,14.76587129095521,14.87144518435476,14.799488942742453,14.730114606022847,14.753910014202154,14.758684374646194
20160403,14.959460735501398,14.802167007966352,14.96963823811071,14.901909845726795,14.799556254974293,14.838542324362765,14.828873403060683
20160404,15.149302064027065,14.93073230233157,15.041350873550645,15.004309379748648,14.92631907735359,14.935675477579274,14.935736913346428
20160405,15.36221492712773,15.194466968919146,15.104384504875789,15.069418471555508,15.031007761482044,15.055008311701243,15.023037138473754
20160406,15.55240109728556,15.42450758967858,15.272696069470015,15.118215565846608,15.082051802178835,15.149492782017276,15.131749598238834
20160407,15.673074299579635,15.612621504699066,15.441540789678333,15.2527481429868,15.12700088054978,15.193233979783546,15.220778038207436
20160408,15.681545757646255,15.719207218472455,15.605513119327195,15.393015615434901,15.255558695778127,15.241536916817097,15.267218135936034
20160409,15.645032077217728,15.71878918814377,15.690387700100022,15.54702947433996,15.392745832283481,15.369341476117718,15.34683461637648
20160410,15.728288493306097,15.699512781306765,15.686125126307585,15.688295144448315,15.549034417245464,15.508806811136399,15.524439008532987
20160411,15.85949232031461,15.803674987621903,15.65338840999894,15.773431227899597,15.692770339417514,15.669546016760718,15.703347708737397
20160412,16.015582441037477,15.890482123939805,15.734863723063874,15.751991213610609,15.78016672487604,15.814892357368322,15.865657265992603
20160413,16.123224315781876,15.983258947040957,15.843606633600501,15.831802151609704,15.823778106195192,15.892220756150293,15.997456218606427
20160414,16.211289015542235,16.03099159988809,15.949212313331753,15.927971030393909,15.921420107830963,15.90938297126107,16.043870406468006
20160415,16.280145689145552,16.07458775582147,15.988433708419631,16.017330422169056,16.004789779420523,15.97516865784273,16.01276280643709
20160416,16.29828606851425,16.12010898816305,16.010593589632457,16.047700525882078,16.077624018279085,16.04280169123154,16.062883440842338
20160417,16.231828862286385,16.130783586262258,16.028457240936927,16.063312956988362,16.11529108845794,16.11687426146632,16.146422461459622
20160418,16.13672950007474,16.080345088539993,16.021591660401334,16.080339212075305,16.1603467445293,16.16944003940434,16.23624262148843
20160419,16.09226656560041,16.012573156895005,15.985729199104654,16.0817928357486,16.20034703829989,16.212503573947686,16.292421890983288
20160420,16.16142106911842,15.985727062208404,15.948359691728452,16.056613520136118,16.20826958114258,16.241165496221768,16.323417838185197
20160421,16.246729439829764,16.049280226434057,15.946660057874507,16.026730361655808,16.189625161371175,16.237945193574717,16.327468057912903
20160422,16.263616796660532,16.127596672619095,16.013406012208,16.025455168819295,16.12824388507047,16.185197512343514,16.29867551785561
20160423,16.240228734328667,16.168111157049573,16.06855583193497,16.087514375454955,16.082381550665165,16.116177099065126,16.23689571040449
20160424,16.223691561370686,16.19726403123683,16.087661287072063,16.15115328264259,16.110014824507445,16.087934008455825,16.188287464319384
20160425,16.21831700019274,16.22414859005591,16.122694098400125,16.195088403743448,16.17014868762287,16.145358287127685,16.19449140835392
20160426,16.330780781322716,16.25956924805314,16.18195397094976,16.244155281185968,16.21831646596868,16.21307065278973,16.258974122447828
20160427,16.416703509705613,16.37054120848937,16.216639269525345,16.28505868073374,16.24914947483161,16.23388001557327,16.2949979194113
20160428,16.36332143740053,16.445609572376128,16.311072187219374,16.28523657734646,16.26187415776958,16.230837876650973,16.27892391871526
20160429,16.211137295908564,16.407361266417578,16.351762698478353,16.35107568633434,16.26095208703819,16.234021050725698,16.265493525791104
20160430,16.143987201072,16.290127932860123,16.279026222623177,16.384019147355065,16.345932444175336,16.250816253905732,16.28691591068604
20160501,16.108693154177516,16.232973437339687,16.154774253336303,16.32810672277928,16.43568849731668,16.367164378192093,16.337265994326007
20160502,16.316893893937394,16.383338278787768,16.30834443915769,16.377077707002638,16.548875617826894,16.621288086788336,16.611623172166723
20160503,16.333655441001508,16.578852799742158,16.472571326572197,16.54348850238349,16.60362797485157,16.81320781402806,16.910098429520325
20160504,16.357591082997146,16.560262069489006,16.643221189886752,16.69570069063872,16.725043481480096,16.837850501570045,17.047500591210717
20160505,16.413601003464283,16.546125165242568,16.60990777870294,16.770349421524607,16.776390694332196,16.86292644482649,17.00345488572898
20160506,16.45821058244369,16.587181887096193,16.601533015191585,16.73921484317855,16.871935065187667,16.933474204698758,17.045229070498166
20160507,16.562122771897712,16.64084068746551,16.64449023914655,16.7381642915602,16.883304688791817,17.021720807752303,17.11474177124989
20160508,16.587369666854066,16.73138204997831,16.686493873150457,16.78393580787493,16.89923685299934,17.05308216421277,17.19276439420071
20160509,16.569363377724983,16.759230883229698,16.744193010102325,16.820955665602405,16.929818509441002,17.059601567556044,17.222313929754165
20160510,16.577612064357655,16.766345679290314,16.73352989782046,16.880324786972768,16.932043018436076,17.064062605587594,17.211589114593114
20160511,16.614620169155764,16.77388945727289,16.739409300737197,16.878925119929757,16.96303789718986,17.063956027887183,17.211709315007113
20160512,16.819847150673304,16.76475769826537,16.753678692551066,16.86340617803436,16.94237063800687,17.079817674518495,17.19646095759923
20160513,17.00343458521462,16.91737669814398,16.75252049478418,16.87541847318536,16.944127700947504,17.066063541812632,17.18957988456583
20160514,17.27443843861679,17.15642273392022,16.956532917896265,16.909923738251976,16.99169661411957,17.11199105155353,17.198975016036023
20160515,17.554420461608597,17.45489825838585,17.239869066662706,17.131864453780064,17.06978441240598,17.197989105529203,17.26276564285733
20160516,17.865365309910455,17.7074721829776,17.535816375753893,17.402666637598752,17.290753374364893,17.280988025619582,17.330507925066865
20160517,17.91976614750219,17.952793214588652,17.771990289415633,17.65673345133237,17.518246547683642,17.458811449641598,17.37117359490695
20160518,17.947630339695365,17.96394661100362,17.967655060887523,17.85439087855633,17.723463378944,17.637070266274318,17.51901903567761
20160519,18.074069555848972,17.99163036901978,17.957188810172582,18.03943487500328,17.90075297957184,17.820005947459727,17.70619512035687
20160520,18.249744330692746,18.154120894676065,18.011855290679254,18.055016054001925,18.101409807793125,18.008358527080006,17.93260515438947
20160521,18.425285816632996,18.363287110872385,18.24262526083963,18.14643581442903,18.149372310543026,18.231896706110142,18.160724037641092
20160522,18.55656804102264,18.535870998848182,18.44016796344623,18.374028219867334,18.267446379218395,18.28937948231681,18.379156103084547
20160523,18.591626495105686,18.636917343320434,18.60072352954916,18.541636478483653,18.477287721073342,18.36980103841902,18.399783829686935
20160524,18.60569061132365,18.63790285315921,18.69492873423667,18.635307592664958,18.628853231101257,18.51033321888995,18.415761402939747
20160525,18.65762106329567,18.64421751513064,18.72427259352617,18.688895741902044,18.709525071176618,18.628414366034146,18.50707899301495
20160526,18.688393037059498,18.650028804479447,18.727217236557117,18.71996087112001,18.70306363114409,18.715917062081054,18.61178730987769
20160527,18.84397137113076,18.699282660343744,18.722730288658546,18.741660251191206,18.73855787850589,18.774676900908453,18.698029904917846
20160528,18.987628762365663,18.86118974654608,18.760130246806295,18.774075765282443,18.747802759458587,18.748600355983477,18.77470735168
20160529,19.077309489914235,18.993198916328385,18.94522693110138,18.81658450813718,18.773077968290234,18.759913886061096,18.751126968685735
20160530,19.15892149756109,19.121941840194292,19.061563235680364,19.000932143519027,18.86333872961436,18.791657613394094,18.765899332454183
20160531,19.165521368403734,19.25072830332127,19.202138955412362,19.139515741723017,19.024243477919956,18.870543609207466,18.807447807557082
20160601,19.138079079663697,19.335138843718052,19.378455533688886,19.318965878014485,19.22885022530126,19.05408670315162,18.856574518094572
20160602,18.988755374134875,19.284826022206424,19.40906376777764,19.407943967365224,19.371715762919944,19.255078022413855,19.097399653554014
20160603,18.960001231432052,19.153208505439732,19.410554987469315,19.472358100445145,19.446264426961175,19.34074372224482,19.26897439227628
20160604,19.10592647058908,19.23657517201894,19.452937586667357,19.662047976449173,19.74132691075481,19.632723950227984,19.527232761391065
20160605,19.415955057846226,19.490814072678603,19.640483888621734,19.82824908888561,19.974797633967228,20.07243629670261,19.949574144702602
20160606,19.548366364791367,19.744741938072536,19.818054223994274,19.926079070613273,20.053962094073032,20.205104966089724,20.368848981729993
20160607,19.578058538169433,19.78377026124543,19.946963491877554,20.004830441962966,20.07342654777994,20.203386434059578,20.372619535161128
20160608,19.65600409929928,19.73663061380186,19.919262037689332,20.044571470118363,20.102613612307177,20.193387495843062,20.362490780497495
20160609,19.795561955247738,19.770195544351964,19.846341855534764,20.014734355074413,20.111731681823105,20.183424884862777,20.313707976700055
20160610,19.96144897732459,19.9455428565401,19.960851147209965,20.021332790189895,20.142001752080475,20.2506227259749,20.31387732572778
20160611,20.45245698402931,20.125549120080336,20.128714397648977,20.151665598253967,20.22326825031509,20.358188540568438,20.435443483541853
20160612,20.9868901949675,20.61539532300575,20.310101697168054,20.329026718128137,20.38980118267217,20.478757435614366,20.58939964624819
20160613,21.405771409028052,21.066937260002096,20.72100380741333,20.50025214109172,20.57656477959739,20.648890637482747,20.71717034909887
20160614,21.620621902802384,21.402409002780452,21.11494236712096,20.84200008170903,20.722284075378433,20.795664424784597,20.86763215221424
20160615,21.778966315511795,21.585402513720595,21.343074739530152,21.107523464012925,20.918182970545587,20.88270822236206,20.980172861609173
20160616,21.97358814805822,21.730320673742334,21.510838991572637,21.31606183338012,21.148946396461202,21.050394878359505,21.056492912473708
20160617,22.06450747409504,21.94023894386224,21.65489892063842,21.507199456592762,21.4106188246126,21.278654128983476,21.216152184156254
20160618,22.08381085924719,22.024128148352307,21.85614860401275,21.697763990942654,21.599812940686892,21.51644059797702,21.419201534840177
20160619,22.1508712044413,22.072736928661477,21.992499946972764,21.92355779751949,21.776431689448604,21.723205610569686,21.64163146605324
20160620,22.31207331521553,22.19191163246103,22.09071169857089,22.07035562490414,21.98646081106142,21.88510755486542,21.845216509915556
20160621,22.49944065210907,22.38215549881758,22.22868147332739,22.181253862419783,22.135213631401758,22.066661198401874,22.001998717911025
20160622,22.705285997978624,22.56396236455952,22.40582883679867,22.316886674016114,22.238584918992785,22.19812465830462,22.152978985478782
20160623,22.944293302510353,22.72593776466381,22.556094846795236,22.481597835543024,22.361168239421318,22.294366725785352,22.27181979923945
20160624,23.000662755771362,22.913243398678162,22.648933372775577,22.620622702822406,22.521376426327794,22.416785238090693,22.373170117203106
20160625,22.892558242989086,22.935455366737052,22.819836992519683,22.708622761471236,22.676625945488762,22.583863279325257,22.50793748581864
20160626,22.441969094607703,22.855404562134023,22.8911914307259,22.86835121516984,22.79606348752693,22.747988664167945,22.68241533165102
20160627,22.200362255789223,22.48995096297986,22.89964659495862,22.981831891802244,22.969655856976175,22.869734588378954,22.84150832582761
20160628,22.050639017439867,22.391028693378985,22.65081838237911,23.043751665957664,23.116928876664172,23.072766977448904,22.987270025643593
20160629,21.87680197337012,22.32402577727156,22.600783490935854,22.86843081455511,23.181747617693215,23.212545634880072,23.179940604802763
20160630,21.857502594898442,22.18758121221269,22.537062580354664,22.80131758117884,23.009375683114104,23.295244321047488,23.323579832419554
20160701,22.03087833649046,22.198566194492045,22.421299164304404,22.73227927139437,22.968349412032023,23.15120522672013,23.398081117464265
20160702,22.364722432107254,22.458047903320306,22.541930430009593,22.754368100806918,23.04469003052295,23.251206361814653,23.410279856812977
20160703,22.41341989361075,22.683173929819368,22.733064046541767,22.829776765421308,23.03596748714709,23.308808537099228,23.486410525247454
20160704,22.621122736544642,22.770259396873683,22.93583813827763,22.97728484369668,23.085408588545192,23.28132431177031,23.509702961472183
