date,1,2,3,4,5,6,7
20160115,7.4564650590838335,,,,,,
20160116,7.491804265617942,7.366339830653822,,,,,
20160117,7.322222099674341,7.389478716321346,7.295207615546084,,,,
20160118,7.256194978284488,7.227515119530947,7.306138294371612,7.261269961914442,,,
20160119,7.234155110826418,7.1533145430817475,7.143068510303205,7.283058195066237,7.25396539796394,,
20160120,7.214081001966077,7.14544935797026,7.092510088134078,7.134844871763976,7.280007039489308,7.267583043683812,
20160121,7.150812538156117,7.125722948934828,7.104565593815856,7.100522956057795,7.158242560806328,7.32335839704028,7.332120432627975
20160122,7.090151464579543,7.072122690977893,7.09190358493434,7.1102936795911535,7.126384653962438,7.208981643503037,7.3961810785132425
20160123,7.057675584026228,7.0279648132145045,7.067533770195955,7.129320387535635,7.161396950970447,7.193653458025985,7.290243035571875
20160124,7.024510755984794,6.988901275566168,7.012666737825383,7.064678330190572,7.121424375429361,7.153730349057927,7.187260799595657
20160125,6.78359564101392,6.759638047717437,6.793634487711229,6.878808757397285,6.93666600826207,6.999770300402125,7.046068145129126
20160126,6.519208995594579,6.498737720336303,6.506568493918728,6.584137098774979,6.677365100075515,6.791440752733455,6.897492783864846
20160127,6.253065211472453,6.266202529599153,6.274340139315725,6.36110737603466,6.47941779748793,6.601984494942194,6.724875951201991
20160128,6.0023628841105445,6.057266478730746,6.103643183211849,6.197100594706139,6.319415657854129,6.444644230462796,6.575612359356448
20160129,5.822716062822837,5.872943274024732,5.977708457350533,6.091130290956274,6.21059780007429,6.338322642353744,6.471024968930807
20160130,5.684439785444406,5.730579193756345,5.85038006456216,6.016041466913133,6.137241022993994,6.264629635958227,6.398560023978729
20160131,5.55995034380374,5.584031961986222,5.6949396032497885,5.841716962120521,6.0326349929901095,6.174956058847169,6.312603608913343
20160201,5.445680409387965,5.4758177397787,5.536052253776262,5.666660495428462,5.821614893892818,6.006863625349258,6.155978817475716
20160202,5.437882613520891,5.56517516096649,5.697810815205992,5.8308085074075136,5.992391426657651,6.144202905467575,6.269665906617984
20160203,5.3998614584404265,5.638514732282255,5.7864011460584175,5.915072305387107,6.003000214305067,6.089543059178237,6.180216004445836
20160204,5.439098487547788,5.524880694247292,5.799982946435517,5.906474441469316,5.99110959720005,6.057903808925269,6.144128347154605
